v1: 12, v2: 24, acc: 56.86274509803921
v1: 12, v2: 25, acc: 50.0
v1: 12, v2: 26, acc: 47.05882352941177
v1: 12, v2: 27, acc: 47.05882352941177
v1: 12, v2: 28, acc: 43.13725490196079
v1: 12, v2: 29, acc: 47.05882352941177
v1: 12, v2: 30, acc: 41.1764705882353
v1: 12, v2: 31, acc: 43.13725490196079
v1: 11, v2: 10, acc: 54.90196078431372
v1: 11, v2: 11, acc: 59.80392156862745
v1: 11, v2: 12, acc: 57.84313725490196
v1: 11, v2: 13, acc: 51.96078431372549
v1: 11, v2: 14, acc: 43.13725490196079
v1: 11, v2: 15, acc: 44.11764705882353
v1: 11, v2: 16, acc: 47.05882352941177
v1: 11, v2: 17, acc: 46.07843137254902
v1: 11, v2: 18, acc: 45.09803921568628
v1: 11, v2: 19, acc: 50.0
v1: 11, v2: 20, acc: 50.98039215686274
v1: 11, v2: 21, acc: 46.07843137254902
v1: 11, v2: 22, acc: 54.90196078431372
v1: 11, v2: 23, acc: 45.09803921568628
v1: 11, v2: 24, acc: 52.94117647058823
v1: 11, v2: 25, acc: 49.01960784313726
v1: 11, v2: 26, acc: 46.07843137254902
v1: 11, v2: 27, acc: 50.0
v1: 11, v2: 28, acc: 53.92156862745098
v1: 11, v2: 29, acc: 52.94117647058823
v1: 11, v2: 30, acc: 57.84313725490196
v1: 11, v2: 31, acc: 50.0
v1: 32, v2: 10, acc: 45.09803921568628
v1: 32, v2: 11, acc: 46.07843137254902
v1: 32, v2: 12, acc: 49.01960784313726
v1: 32, v2: 13, acc: 45.09803921568628
v1: 32, v2: 14, acc: 54.90196078431372
v1: 32, v2: 15, acc: 43.13725490196079
v1: 32, v2: 16, acc: 45.09803921568628
v1: 32, v2: 17, acc: 54.90196078431372
v1: 32, v2: 18, acc: 54.90196078431372
v1: 32, v2: 19, acc: 48.03921568627451
v1: 32, v2: 20, acc: 44.11764705882353
v1: 32, v2: 21, acc: 46.07843137254902
v1: 32, v2: 22, acc: 52.94117647058823
v1: 32, v2: 23, acc: 52.94117647058823
v1: 32, v2: 24, acc: 45.09803921568628
v1: 32, v2: 25, acc: 54.90196078431372
v1: 32, v2: 26, acc: 57.84313725490196
v1: 32, v2: 27, acc: 61.76470588235294
v1: 32, v2: 28, acc: 54.90196078431372
v1: 32, v2: 29, acc: 47.05882352941177
v1: 32, v2: 30, acc: 56.86274509803921
v1: 32, v2: 31, acc: 50.0
v1: 31, v2: 10, acc: 55.88235294117647
v1: 31, v2: 11, acc: 45.09803921568628
v1: 31, v2: 12, acc: 50.0
v1: 31, v2: 13, acc: 43.13725490196079
v1: 31, v2: 14, acc: 49.01960784313726
v1: 31, v2: 15, acc: 53.92156862745098
v1: 31, v2: 16, acc: 49.01960784313726
v1: 31, v2: 17, acc: 57.84313725490196
v1: 31, v2: 18, acc: 43.13725490196079
v1: 31, v2: 19, acc: 53.92156862745098
v1: 31, v2: 20, acc: 48.03921568627451
v1: 31, v2: 21, acc: 51.96078431372549
v1: 31, v2: 22, acc: 43.13725490196079
v1: 31, v2: 23, acc: 50.0
v1: 31, v2: 24, acc: 50.98039215686274
v1: 31, v2: 25, acc: 49.01960784313726
v1: 31, v2: 26, acc: 54.90196078431372
v1: 31, v2: 27, acc: 47.05882352941177
v1: 31, v2: 28, acc: 46.07843137254902
v1: 31, v2: 29, acc: 51.96078431372549
v1: 31, v2: 30, acc: 42.15686274509804
v1: 31, v2: 31, acc: 49.01960784313726
v1: 30, v2: 10, acc: 51.96078431372549
v1: 30, v2: 11, acc: 37.254901960784316
v1: 30, v2: 12, acc: 48.03921568627451
v1: 30, v2: 13, acc: 56.86274509803921
v1: 30, v2: 14, acc: 53.92156862745098
v1: 30, v2: 15, acc: 47.05882352941177
v1: 30, v2: 16, acc: 52.94117647058823
v1: 30, v2: 17, acc: 43.13725490196079
v1: 30, v2: 18, acc: 56.86274509803921
v1: 30, v2: 19, acc: 50.0
v1: 30, v2: 20, acc: 51.96078431372549
v1: 30, v2: 21, acc: 47.05882352941177
v1: 30, v2: 22, acc: 55.88235294117647
v1: 30, v2: 23, acc: 49.01960784313726
v1: 30, v2: 24, acc: 53.92156862745098
v1: 30, v2: 25, acc: 57.84313725490196
v1: 30, v2: 26, acc: 50.0
v1: 30, v2: 27, acc: 48.03921568627451
v1: 30, v2: 28, acc: 52.94117647058823
v1: 30, v2: 29, acc: 54.90196078431372
v1: 30, v2: 30, acc: 51.96078431372549
v1: 30, v2: 31, acc: 52.94117647058823
v1: 29, v2: 10, acc: 50.0
v1: 29, v2: 11, acc: 52.94117647058823
v1: 29, v2: 12, acc: 52.94117647058823
v1: 29, v2: 13, acc: 57.84313725490196
v1: 29, v2: 14, acc: 50.0
v1: 29, v2: 15, acc: 50.0
v1: 29, v2: 16, acc: 50.0
v1: 29, v2: 17, acc: 55.88235294117647
v1: 29, v2: 18, acc: 52.94117647058823
v1: 29, v2: 19, acc: 50.98039215686274
v1: 29, v2: 20, acc: 52.94117647058823
v1: 29, v2: 21, acc: 40.19607843137255
v1: 29, v2: 22, acc: 54.90196078431372
v1: 29, v2: 23, acc: 44.11764705882353
v1: 29, v2: 24, acc: 47.05882352941177
v1: 29, v2: 25, acc: 52.94117647058823
v1: 29, v2: 26, acc: 48.03921568627451
v1: 29, v2: 27, acc: 55.88235294117647
v1: 29, v2: 28, acc: 52.94117647058823
v1: 29, v2: 29, acc: 58.8235294117647
v1: 29, v2: 30, acc: 52.94117647058823
v1: 29, v2: 31, acc: 55.88235294117647
v1: 28, v2: 10, acc: 49.01960784313726
v1: 28, v2: 11, acc: 54.90196078431372
v1: 28, v2: 12, acc: 43.13725490196079
v1: 28, v2: 13, acc: 52.94117647058823
v1: 28, v2: 14, acc: 49.01960784313726
v1: 28, v2: 15, acc: 44.11764705882353
v1: 28, v2: 16, acc: 47.05882352941177
v1: 28, v2: 17, acc: 58.8235294117647
v1: 28, v2: 18, acc: 44.11764705882353
v1: 28, v2: 19, acc: 58.8235294117647
v1: 28, v2: 20, acc: 48.03921568627451
v1: 28, v2: 21, acc: 53.92156862745098
v1: 28, v2: 22, acc: 48.03921568627451
v1: 28, v2: 23, acc: 65.68627450980392
v1: 28, v2: 24, acc: 51.96078431372549
v1: 28, v2: 25, acc: 55.88235294117647
v1: 28, v2: 26, acc: 41.1764705882353
v1: 28, v2: 27, acc: 53.92156862745098
v1: 28, v2: 28, acc: 54.90196078431372
