v1, v2, acc
v1: 15, v2: 16, acc: 62.878787878787875
v1: 15, v2: 17, acc: 62.878787878787875
v1: 15, v2: 18, acc: 66.66666666666667
v1: 15, v2: 19, acc: 62.121212121212125
v1: 15, v2: 20, acc: 64.39393939393939
v1: 15, v2: 21, acc: 64.39393939393939
v1: 15, v2: 22, acc: 66.66666666666667
v1: 15, v2: 23, acc: 59.84848484848485
v1: 15, v2: 24, acc: 63.63636363636363
v1: 15, v2: 25, acc: 64.39393939393939
v1: 15, v2: 26, acc: 64.39393939393939
v1: 15, v2: 27, acc: 65.15151515151516
v1: 15, v2: 28, acc: 69.6969696969697
v1: 15, v2: 29, acc: 62.121212121212125
v1: 15, v2: 30, acc: 64.39393939393939
v1: 15, v2: 31, acc: 62.121212121212125
v1: 16, v2: 10, acc: 61.36363636363637
v1: 16, v2: 11, acc: 64.39393939393939
v1: 16, v2: 12, acc: 67.42424242424242
v1: 16, v2: 13, acc: 65.15151515151516
v1: 16, v2: 14, acc: 59.84848484848485
v1: 16, v2: 15, acc: 65.9090909090909
v1: 16, v2: 16, acc: 65.15151515151516
v1: 16, v2: 17, acc: 66.66666666666667
v1: 16, v2: 18, acc: 61.36363636363637
v1: 16, v2: 19, acc: 61.36363636363637
v1: 16, v2: 20, acc: 67.42424242424242
v1: 16, v2: 21, acc: 63.63636363636363
v1: 16, v2: 22, acc: 62.121212121212125
v1: 16, v2: 23, acc: 60.60606060606061
v1: 16, v2: 24, acc: 62.878787878787875
v1: 16, v2: 25, acc: 67.42424242424242
v1: 16, v2: 26, acc: 62.121212121212125
v1: 16, v2: 27, acc: 65.15151515151516
v1: 16, v2: 28, acc: 63.63636363636363
v1: 16, v2: 29, acc: 64.39393939393939
v1: 16, v2: 30, acc: 59.84848484848485
v1: 16, v2: 31, acc: 59.84848484848485
v1: 17, v2: 10, acc: 63.63636363636363
v1: 17, v2: 11, acc: 63.63636363636363
v1: 17, v2: 12, acc: 65.9090909090909
v1: 17, v2: 13, acc: 64.39393939393939
v1: 17, v2: 14, acc: 62.121212121212125
v1: 17, v2: 15, acc: 62.878787878787875
v1: 17, v2: 16, acc: 62.878787878787875
v1: 17, v2: 17, acc: 64.39393939393939
v1: 17, v2: 18, acc: 65.15151515151516
v1: 17, v2: 19, acc: 63.63636363636363
v1: 17, v2: 20, acc: 67.42424242424242
v1: 17, v2: 21, acc: 63.63636363636363
v1: 17, v2: 22, acc: 63.63636363636363
v1: 17, v2: 23, acc: 62.121212121212125
v1: 17, v2: 24, acc: 63.63636363636363
v1: 17, v2: 25, acc: 60.60606060606061
v1: 17, v2: 26, acc: 63.63636363636363
v1: 17, v2: 27, acc: 65.9090909090909
v1: 17, v2: 28, acc: 65.15151515151516
v1: 17, v2: 29, acc: 64.39393939393939
v1: 17, v2: 30, acc: 62.878787878787875
v1: 17, v2: 31, acc: 64.39393939393939
v1: 18, v2: 10, acc: 68.18181818181819
v1: 18, v2: 11, acc: 65.15151515151516
v1: 18, v2: 12, acc: 64.39393939393939
v1: 18, v2: 13, acc: 61.36363636363637
v1: 18, v2: 14, acc: 62.878787878787875
v1: 18, v2: 15, acc: 63.63636363636363
v1: 18, v2: 16, acc: 64.39393939393939
v1: 18, v2: 17, acc: 62.121212121212125
v1: 18, v2: 18, acc: 62.878787878787875
v1: 18, v2: 19, acc: 64.39393939393939
v1: 18, v2: 20, acc: 62.121212121212125
v1: 18, v2: 21, acc: 62.121212121212125
v1: 18, v2: 22, acc: 63.63636363636363
v1: 18, v2: 23, acc: 61.36363636363637
v1: 18, v2: 24, acc: 63.63636363636363
v1: 18, v2: 25, acc: 61.36363636363637
v1: 18, v2: 26, acc: 63.63636363636363
v1: 18, v2: 27, acc: 65.15151515151516
v1: 18, v2: 28, acc: 64.39393939393939
v1: 18, v2: 29, acc: 64.39393939393939
v1: 18, v2: 30, acc: 61.36363636363637
v1: 18, v2: 31, acc: 64.39393939393939
